label,depth,rate
rh_R_6mp,superficial,0.00151579620180604
rh_R_6r,deep,0.00207623948478928
rh_R_6r,middle,0.0017175468949587
rh_R_6r,superficial,0.00116877268858537
rh_R_6v,deep,0.002367358175177
rh_R_6v,middle,0.00190238487633975
rh_R_6v,superficial,0.00111663129105696
rh_R_8Ad,deep,0.00226527596929288
rh_R_8Ad,middle,0.00192149218757806
rh_R_8Ad,superficial,0.00137294938609929
rh_R_8Av,deep,0.00245474003522447
rh_R_8Av,middle,0.0021366454718309
rh_R_8Av,superficial,0.00152542220803784
rh_R_8BL,deep,0.00202668692426754
rh_R_8BL,middle,0.00157002194807836
rh_R_8BL,superficial,0.00103957319869919
rh_R_8BM,deep,0.00197029898418471
rh_R_8BM,middle,0.00171894684478839
rh_R_8BM,superficial,0.00129029027565792
rh_R_8C,deep,0.00228569088704687
rh_R_8C,middle,0.00192305434656814
rh_R_8C,superficial,0.00136527690722045
rh_R_9-46d,deep,0.00198193564964344
rh_R_9-46d,middle,0.00161465461241185
rh_R_9-46d,superficial,0.00115060083147945
rh_R_9a,deep,0.00204527839228455
rh_R_9a,middle,0.00151476513847912
rh_R_9a,superficial,0.000951108744204443
rh_R_9m,deep,0.00173654999851242
rh_R_9m,middle,0.00110775133976604
rh_R_9m,superficial,0.000559461739306003
rh_R_9p,deep,0.00208728955588424
rh_R_9p,middle,0.0015471538091084
rh_R_9p,superficial,0.000951868663878873
rh_R_AAIC,deep,0.000369827568482722
rh_R_AAIC,middle,0.000248761323746599
rh_R_AAIC,superficial,0.00018015995467104
rh_R_AVI,deep,0.00120146988128163
rh_R_AVI,middle,0.00119926004373579
rh_R_AVI,superficial,0.00129332066424238
rh_R_FEF,deep,0.00302721721517421
rh_R_FEF,middle,0.0027350417775259
rh_R_FEF,superficial,0.0020332661966291
rh_R_FOP1,deep,0.00154888445945987
rh_R_FOP1,middle,0.00137213159746525
rh_R_FOP1,superficial,0.00121808629669168
rh_R_FOP2,deep,0.00175761638326116
rh_R_FOP2,middle,0.00150576712418494
rh_R_FOP2,superficial,0.00104972915273358
rh_R_FOP3,deep,0.00124146580871901
rh_R_FOP3,middle,0.00115559925459003
rh_R_FOP3,superficial,0.000787101404485482
rh_R_FOP4,deep,0.00136822159465968
rh_R_FOP4,middle,0.00135096519130175
rh_R_FOP4,superficial,0.00154362140038988
rh_R_FOP5,deep,0.00143205958189094
