label,depth,rate
lh_L_FOP2,depth_1,0.000941583057436654
lh_L_FOP2,depth_2,0.0010701163485433
lh_L_FOP2,depth_3,0.00115173319252269
lh_L_FOP2,depth_4,0.00123895825227955
lh_L_FOP2,depth_5,0.00131650673898997
lh_L_FOP2,depth_6,0.0013630129407024
lh_L_FOP2,depth_7,0.00134186283034201
lh_L_FOP3,depth_1,0.00084288526139398
lh_L_FOP3,depth_2,0.000966672265204231
lh_L_FOP3,depth_3,0.00109285891624955
lh_L_FOP3,depth_4,0.00123130813194836
lh_L_FOP3,depth_5,0.00137027382638387
lh_L_FOP3,depth_6,0.00147471269335898
lh_L_FOP3,depth_7,0.00150211135176557
lh_L_FOP4,depth_1,0.00108525754443885
lh_L_FOP4,depth_2,0.00122744633433409
lh_L_FOP4,depth_3,0.00124167857069863
lh_L_FOP4,depth_4,0.00126091781055514
lh_L_FOP4,depth_5,0.00129841524826678
lh_L_FOP4,depth_6,0.00133449508704816
lh_L_FOP4,depth_7,0.00131591483115616
lh_L_FOP5,depth_1,0.000822352047760754
lh_L_FOP5,depth_2,0.00098840007062118
lh_L_FOP5,depth_3,0.00113513289860654
lh_L_FOP5,depth_4,0.0012529537384691
lh_L_FOP5,depth_5,0.00132815771238394
lh_L_FOP5,depth_6,0.00135146176669644
lh_L_FOP5,depth_7,0.00127329266842528
lh_L_IFJa,depth_1,0.00113754805217446
lh_L_IFJa,depth_2,0.00148039308476721
lh_L_IFJa,depth_3,0.00177127969155607
lh_L_IFJa,depth_4,0.00202994081941195
lh_L_IFJa,depth_5,0.00224417609983912
lh_L_IFJa,depth_6,0.00237542188157241
lh_L_IFJa,depth_7,0.00235316013743614
lh_L_IFJp,depth_1,0.00126961993176559
lh_L_IFJp,depth_2,0.00145710099639492
lh_L_IFJp,depth_3,0.00163979708912702
lh_L_IFJp,depth_4,0.00183514189575742
lh_L_IFJp,depth_5,0.0019971466152084
lh_L_IFJp,depth_6,0.00209457781880832
lh_L_IFJp,depth_7,0.00205252358433201
lh_L_IFSa,depth_1,0.00102252099751326
lh_L_IFSa,depth_2,0.00127641658977548
lh_L_IFSa,depth_3,0.00141824416382676
lh_L_IFSa,depth_4,0.00157614401809813
lh_L_IFSa,depth_5,0.00172803777339375
lh_L_IFSa,depth_6,0.0018355906341518
lh_L_IFSa,depth_7,0.00186360276096744
lh_L_IFSp,depth_1,0.000981387023135882
lh_L_IFSp,depth_2,0.0012842060037038
lh_L_IFSp,depth_3,0.0014921975514037
lh_L_IFSp,depth_4,0.00169485163455939
lh_L_IFSp,depth_5,0.00187184701207983
lh_L_IFSp,depth_6,0.00200724390984727
lh_L_IFSp,depth_7,0.00209414172041271
lh_L_Ig,depth_1,0.000903367247023638
lh_L_Ig,depth_2,0.00101058351224572
lh_L_Ig,depth_3,0.00110945782658919
lh_L_Ig,depth_4,0.00120789354152628
lh_L_Ig,depth_5,0.0012857984850892
lh_L_Ig,depth_6,0.00134478823031318
lh_L_Ig,depth_7,0.00137528527609215
lh_L_MI,depth_1,0.00055115137310071
lh_L_MI,depth_2,0.000683649661206631
lh_L_MI,depth_3,0.000785276676198657
lh_L_MI,depth_4,0.000883670190219173
lh_L_MI,depth_5,0.000967207248428733
lh_L_MI,depth_6,0.00105195688382521
lh_L_MI,depth_7,0.00114766075404336
lh_L_PEF,depth_1,0.00123202248735172
lh_L_PEF,depth_2,0.0016140338133874
lh_L_PEF,depth_3,0.00194458118352677
lh_L_PEF,depth_4,0.00223966827790448
lh_L_PEF,depth_5,0.0024880086158987
lh_L_PEF,depth_6,0.00264513465246481
lh_L_PEF,depth_7,0.00265483502776025
lh_L_PoI2,depth_1,0.000486315645239142
lh_L_PoI2,depth_2,0.000531182112092969
lh_L_PoI2,depth_3,0.000570011966594519
lh_L_PoI2,depth_4,0.000607626098219615
lh_L_PoI2,depth_5,0.000664029093401271
lh_L_PoI2,depth_6,0.000765641272365469
lh_L_PoI2,depth_7,0.000928450174968273
lh_L_SCEF,depth_1,0.00129402199715665
lh_L_SCEF,depth_2,0.00162116745769936
lh_L_SCEF,depth_3,0.00182667720828703
lh_L_SCEF,depth_4,0.00194830135148716
lh_L_SCEF,depth_5,0.00201832914227825
lh_L_SCEF,depth_6,0.00203818769447199
lh_L_SCEF,depth_7,0.00200501855653728
lh_L_SFL,depth_1,0.0015464141928897
lh_L_SFL,depth_2,0.00177114773916023
lh_L_SFL,depth_3,0.00193757338521149
lh_L_SFL,depth_4,0.00206951199772053
lh_L_SFL,depth_5,0.00218750052559912
lh_L_SFL,depth_6,0.00227168955492378
lh_L_SFL,depth_7,0.00227473361064933
lh_L_a10p,depth_1,0.000777381918332756
lh_L_a10p,depth_2,0.000939158796623958
lh_L_a10p,depth_3,0.00110992418377279
lh_L_a10p,depth_4,0.00129301228739512
lh_L_a10p,depth_5,0.00146364977945845
lh_L_a10p,depth_6,0.00157596901998754
lh_L_a10p,depth_7,0.00159457267768367
lh_L_a24,depth_1,0.000402401658121095
lh_L_a24,depth_2,0.000482620804936581
lh_L_a24,depth_3,0.000571624125934605
lh_L_a24,depth_4,0.000694494818001588
lh_L_a24,depth_5,0.000852386528657949
lh_L_a24,depth_6,0.00101876795858348
